t,x,y
1,0.9301311939626447,1.0253830864110327
2,-0.5246722592632374,0.21027321058413206
3,0.7289794343699226,-0.8849134547953209
4,-0.8217207935426819,-0.2398954246035767
5,1.1400685873471734,0.6883450636117164
6,-0.48370872774805396,0.03680863400759171
7,-0.5261805756870703,1.6885685995868764
8,-0.1947184820469392,-0.4271182056974203
9,0.981594827042073,-0.9269131154851786
10,-1.428995909159298,-0.05312621023944272
11,1.8492873734236066,0.4387669719936058
12,-0.7293392397818005,0.01125205459948192
13,-0.7466122660438531,0.08992276794424817
14,0.7517786339887548,0.4394760483906337
15,-0.2301535200653037,0.7709582908257716
16,0.08458532325864097,0.10383477785430034
17,0.32059891173052,-0.6423394687369541
18,-0.880745306663943,0.3506505197882607
19,1.4910981051023953,-0.7978728192953526
20,-0.14588098421838924,0.6167597085412299
21,-1.2786461672386835,0.42496134935235924
22,1.0109189969427521,0.29924561210380896
23,-1.8244134540105996,0.028424857703333917
24,1.028992652991815,0.07453633501460111
25,0.1376451207222671,-0.0844330765747576
26,1.4614546715181462,-0.3798092281767801
27,-2.6768477267282007,0.1532238096076366
28,2.4315103249102794,0.038545243205706126
29,-0.8506226343495342,-1.1061986924629557
30,0.4776016117598292,-0.8500172825572059
31,-0.6646589251720374,0.4894380914138606
32,0.8270788776963923,0.24826848649219757
33,-0.33010123860592444,-1.8576985576316107
34,-0.8048812199198655,-0.45420121280442904
35,0.1444530797010274,0.40608244009192834
36,1.4239735401547993,0.08069633160048947
37,-2.003037038900045,0.3669425561588614
38,1.6172084413761378,-0.11540807955826371
39,-0.6748068821937118,0.00905242916665383
40,0.40675020712566057,-0.1285521949799875
41,-0.2173011962100748,-0.0007756406917222847
42,0.9340638501627762,-0.22216767574557061
43,-1.29643493823576,0.13536701476231672
44,0.783889374560186,0.14474314269679078
45,-0.32818018088682277,0.4603584709291185
46,1.080944606656139,0.3139611469477736
47,-1.2904191491286297,-0.637151883787392
48,0.5577147483148307,-0.1497851222259356
49,-0.1090401415080561,-0.32004037820050996
50,0.4252969203419202,0.7617889447911619
51,-0.8068563010577166,0.7769449140340641
52,0.8089393603912207,-0.4679770514573426
53,-0.660972843521398,-0.8156643031536139
54,-0.7083306452848744,-0.867569171526259
55,2.3530486262923715,1.0111254155267835
56,-1.8828181321199289,-0.03630733499429473
57,0.9321667045246419,-1.3749347656893827
58,-1.5312041403651135,-0.4827411706715973
59,2.267257219464141,0.25377609797468703
60,-0.5172849244438626,0.31285210470944447
61,-0.9705287260052607,0.25886687512229045
62,0.3745562222264005,0.09242420565484999
63,0.02812018006152723,0.3444568030023316
64,0.3216935106484806,-0.18026470984252363
65,-0.06730563964117975,-0.7220695334211593
66,0.1050662694392846,-0.7259356545321884
67,0.14208978844830078,1.7619680509390643
68,0.7098283634391527,-0.1918169572684456
69,-1.3273389561426936,-0.6015124119591816
70,0.9183908940338076,0.6055933713017
71,-0.6252947698502784,-0.3166644215253769
72,1.657336191899526,-0.22395540119256652
73,-1.6106832523188364,-0.2657821823795215
74,-0.4629468212162148,0.29958845919380317
75,1.4630197013640818,-0.5286287099054288
76,-1.777117740280414,0.5084951093332166
77,1.0313522606568726,0.46722151261756906
78,-0.03839504224336143,-0.8593921836246152
79,-0.5144350216420475,-0.49826599307254094
80,0.9774456243539204,0.4909647799341773
81,0.32125570679932447,-0.3476691906337613
82,-0.933081399770906,-1.4062179106713617
83,0.07725807070705415,1.0548359170634463
84,0.674879811197577,1.4623017326923915
85,-0.49732638632522497,0.34774157976528725
86,-1.1390355928326619,-1.13827952647095
87,0.6231077078895721,-0.11970744454944693
88,1.3537347412287795,0.781185934053372
89,-0.4231661218106041,0.6835366713260977
90,-1.757482590028637,-0.6806370118346293
91,1.5120080549256922,-0.9052170301781497
92,-1.3234672294300691,0.5207325929198138
93,1.5443522672524443,-0.27952336230096564
94,-1.7094718226181211,0.5046057144985368
95,1.1746711474448963,0.11848600288054048
96,-1.1325503388303773,-0.34505400694316124
97,0.6749280893848479,-1.0847330617330317
98,-0.042087882973882454,0.1565402356765876
