sample,t,x
1,1,12.229436582995582
1,2,11.337397471360145
1,3,10.97832020745305
1,4,11.438992398425375
1,5,11.38293628714196
1,6,10.518370424841594
1,7,10.794213452003115
1,8,10.690768237562748
1,9,9.484458104839083
1,10,10.923138652745413
1,11,10.904766932938529
1,12,11.581874900890714
1,13,11.558697851477818
1,14,11.321039311435445
1,15,13.307883860227072
1,16,12.092900918467638
1,17,11.328871400983589
1,18,12.032915427045554
1,19,13.58350440687362
1,20,10.683037440911539
1,21,11.752677945573483
1,22,11.928479261206164
1,23,13.587972546477198
1,24,10.440514227261923
1,25,14.959134055757918
1,26,11.12795382734708
1,27,13.125420953931192
1,28,12.0704046323046
1,29,12.446215348796342
1,30,15.683181638693446
1,31,12.372077102649419
1,32,13.389025604765324
1,33,12.178767541922536
1,34,11.96820107045584
1,35,12.385749802148561
1,36,12.204659927973717
1,37,14.759856358759947
1,38,11.776876200938794
1,39,12.983945106114652
1,40,12.710156685119623
1,41,11.611186056507913
1,42,13.066559263883887
1,43,11.456328183800329
1,44,11.160245546014226
1,45,12.83973617354067
1,46,13.516862394091227
1,47,11.616605832160669
1,48,11.453561114994377
1,49,10.353671688495119
1,50,10.687145365040838
1,51,13.938500098063406
1,52,11.677535731614617
1,53,12.020258822202024
1,54,10.316099041504591
1,55,11.668689624046815
1,56,9.894812501276517
1,57,12.289814934966824
1,58,12.48041588594521
1,59,11.454384494310638
1,60,13.093764221453734
1,61,10.61660082256143
1,62,11.133488192171493
1,63,9.87188623003475
1,64,9.813765600085334
1,65,10.321508354793947
1,66,12.398062867030427
1,67,11.38270287927065
1,68,10.301615551124634
1,69,11.005787323495287
1,70,10.67226773460888
1,71,10.669578288231614
1,72,10.709911793476996
1,73,9.707339049304604
1,74,9.256361008807282
1,75,9.748510783370715
1,76,8.286388700144984
1,77,10.775699291310413
1,78,9.274651705345478
1,79,9.77060515769556
1,80,10.280346042656952
1,81,9.991985651664615
1,82,10.540521537221741
1,83,9.341343585088605
1,84,9.59074177684641
1,85,10.529306078989084
1,86,10.794172924178993
1,87,9.637734394335094
1,88,9.892512617668547
1,89,8.208411204078272
1,90,10.67933024255593
1,91,9.534088281136789
1,92,9.674157265330766
1,93,8.185686682538472
1,94,10.402785372306493
1,95,9.672086197697364
1,96,11.16235862772419
1,97,11.599750361917048
1,98,11.009799185313074
1,99,10.271082386294623
1,100,10.157118825347176
1,101,11.086538281330975
1,102,11.36447091827096
1,103,11.278962791368368
1,104,13.715752027992242
1,105,12.464304014007704
1,106,11.469443347867148
1,107,12.39753683211835
1,108,9.348861086760358
1,109,12.173874233199896
1,110,11.34145355332766
1,111,10.112703821478425
1,112,9.848683190172633
1,113,10.918892265602286
1,114,9.36267631423493
1,115,11.890054814827637
1,116,11.250451599117453
1,117,9.482941671781552
1,118,11.0633724180106
1,119,11.779552704323518
